|------Time------|--Pontos--|--J--|--V--|--E--|--D--|--GP--|--GS--|--SG--|
|Cruzeiro        |36        |38   |7    |15   |16   |27    |46    |-19   |
|Corinthians     |56        |38   |14   |14   |10   |42    |34    |8     |
|Vasco           |49        |38   |12   |13   |13   |39    |45    |-6    |
|Bahia           |49        |38   |12   |13   |13   |44    |43    |1     |
|São Paulo       |63        |38   |17   |12   |9    |39    |30    |9     |
|Palmeiras       |74        |38   |21   |11   |6    |61    |32    |29    |
|Chapecoense     |32        |38   |7    |11   |20   |31    |52    |-21   |
|Avaí            |20        |38   |3    |11   |24   |18    |62    |-44   |
|Fluminense      |46        |38   |12   |10   |16   |38    |46    |-8    |
|Athletico-PR    |64        |38   |18   |10   |10   |49    |32    |17    |
|Inter-RS        |57        |38   |16   |9    |13   |44    |39    |5     |
|Ceará           |39        |38   |10   |9    |19   |36    |41    |-5    |
|Atlético-MG     |48        |38   |13   |9    |16   |45    |49    |-4    |
|Santos          |74        |38   |22   |8    |8    |60    |33    |27    |
|Grêmio          |65        |38   |19   |8    |11   |64    |39    |25    |
|Fortaleza       |53        |38   |15   |8    |15   |50    |47    |3     |
|CSA             |32        |38   |8    |8    |22   |24    |58    |-34   |
|Goiás           |52        |38   |15   |7    |16   |46    |64    |-18   |
|Flamengo        |90        |38   |28   |6    |4    |86    |37    |49    |
|Botafogo        |43        |38   |13   |4    |21   |31    |45    |-14   |
